mu,type,res,NMI,ARI,AMI,FPR,FNR,Precision,Recall,F1-score
0.2,post-CM,0.5,0.923683443,0.425092142,0.742038147,0,0.725600682,1,0.274399318,0.430633184
0.3,pre-CM,mod,0.819994221,0.2284436,0.712949581,0.002887687,0,0.129324239,1,0.229029423
0.3,pre-CM,0.0001,0.723911929,0.078044239,0.625368012,0.010027891,0,0.041018002,1,0.078803637
0.3,pre-CM,0.001,0.921839083,0.632620882,0.842026291,0.000497705,0,0.462882524,1,0.632836221
0.3,pre-CM,0.01,0.9994732,0.998156921,0.998645273,1.58E-06,0,0.996322202,1,0.998157713
0.3,pre-CM,0.1,0.98768727,0.760335591,0.966921034,1.63E-07,0.386325447,0.999381607,0.613674553,0.760413773
0.3,pre-CM,0.5,0.938492729,0.407582715,0.801202631,5.43E-07,0.743641441,0.995083811,0.256358559,0.407686775
0.3,post-CM,mod,0.977695724,0.854181523,0.939095674,6.21E-05,0.146403371,0.85489234,0.853596629,0.854243993
0.3,post-CM,0.0001,0.779308795,0.092456607,0.658146725,0.00825871,0.010013314,0.048900867,0.989986686,0.093198166
0.3,post-CM,0.001,0.933237219,0.678207674,0.856065685,0.000399999,0.007998056,0.515438047,0.992001944,0.678389253
0.3,post-CM,0.01,0.986465962,0.988115067,0.963499745,1.56E-06,0.019921666,0.996294968,0.980078334,0.98812012
0.3,post-CM,0.1,0.972196341,0.742059194,0.920583618,0,0.409996333,1,0.590003667,0.742141265
0.3,post-CM,0.5,0.911470753,0.35992946,0.683150686,0,0.776943115,1,0.223056885,0.364753084
0.4,pre-CM,mod,0.798593327,0.182100342,0.691710802,0.003836518,0,0.10055652,1,0.182737585
0.4,pre-CM,0.0001,0.610799128,0.011142587,0.521208809,0.070656283,0.000830827,0.006028866,0.999169173,0.011985414
0.4,pre-CM,0.001,0.918120626,0.613809238,0.836167403,0.000539202,0,0.443041752,1,0.614038716
0.4,pre-CM,0.01,0.998770803,0.995111126,0.996846382,3.72E-06,0.001134982,0.99138952,0.998865018,0.99511323
0.4,pre-CM,0.1,0.983157062,0.707186499,0.954093749,3.82E-07,0.452392792,0.998376404,0.547607208,0.707275434
0.4,pre-CM,0.5,0.92154643,0.330385656,0.730600417,1.06E-06,0.801560519,0.987700874,0.198439481,0.330481714
0.4,post-CM,mod,0.951110883,0.4585838,0.881242671,0.000902964,0.075260094,0.305198982,0.924739906,0.458932847
0.4,post-CM,0.0001,0.658120602,0.011375453,0.538367948,0.068805894,0.007843179,0.006146821,0.992156821,0.012217946
0.4,post-CM,0.001,0.925184154,0.644097251,0.844414051,0.000469259,0.004786238,0.476345348,0.995213762,0.644303641
0.4,post-CM,0.01,0.985962275,0.985254406,0.962253308,3.65E-06,0.020784682,0.991381167,0.979215318,0.985260688
0.4,post-CM,0.1,0.967082062,0.686627695,0.904055523,0,0.477095565,1,0.522904435,0.686719958
0.4,post-CM,0.5,0.890228311,0.264842725,0.563230836,0,0.844725295,1,0.155274705,0.268810014
0.5,pre-CM,mod,0.777172091,0.143547974,0.67164842,0.005089876,0,0.077719409,1,0.144229394
0.5,pre-CM,0.0001,0.420073781,0.001906669,0.343057996,0.305116665,0.015113503,0.001382589,0.984886497,0.002761301
0.5,pre-CM,0.001,0.914264036,0.595816123,0.830214026,0.000581342,0,0.424561702,1,0.596059408
0.5,pre-CM,0.01,0.996696049,0.975662602,0.991551897,7.81E-06,0.030146302,0.981562504,0.969853698,0.975672973
0.5,pre-CM,0.1,0.977072263,0.647566489,0.936351239,7.19E-07,0.520274336,0.996519225,0.479725664,0.647664693
0.5,pre-CM,0.5,0.898878876,0.238155873,0.623772842,1.94E-06,0.864163673,0.967842186,0.135836327,0.238236274
0.5,post-CM,mod,0.87220604,0.220570279,0.757432282,0.002969985,0.0147585,0.124562478,0.9852415,0.221163601
0.5,post-CM,0.0001,0.470038798,0.001912557,0.351139064,0.302956386,0.019993506,0.001385544,0.980006494,0.002767176
0.5,post-CM,0.001,0.919398241,0.618882422,0.836342388,0.000525073,0.002812964,0.448906691,0.997187036,0.619107771
0.5,post-CM,0.01,0.985028987,0.966747927,0.95995267,7.25E-06,0.048524337,0.982547441,0.951475663,0.966761954
0.5,post-CM,0.1,0.960228911,0.62383585,0.880819587,1.38E-08,0.546564125,0.999929018,0.453435875,0.623936482
0.5,post-CM,0.5,0.861427682,0.134275377,0.330138605,0,0.927169878,1,0.072830122,0.135771956
0.6,pre-CM,mod,0.74146647,0.0988775,0.640493116,0.007753952,0,0.052416498,1,0.099611699
0.6,pre-CM,0.0001,0.171640922,0.000288244,0.116728429,0.665622617,0.110542972,0.000572825,0.889457028,0.001144912
0.6,pre-CM,0.001,0.911526364,0.582270589,0.82605713,0.000614781,0,0.410959083,1,0.582524451
0.6,pre-CM,0.01,0.993023876,0.9389727,0.982228268,1.37E-05,0.086683156,0.966165447,0.913316844,0.938998129
0.6,pre-CM,0.1,0.967345188,0.569418133,0.906761759,1.39E-06,0.600577707,0.991977014,0.399422293,0.569524121
0.6,pre-CM,0.5,0.874241592,0.152458753,0.490205911,3.12E-06,0.916844945,0.919631848,0.083155055,0.152519017
0.6,post-CM,mod,0.77954272,0.111775614,0.665019639,0.006720563,0.006558452,0.059622805,0.993441548,0.112494115
0.6,post-CM,0.0001,0.289098928,0.000282777,0.115917304,0.663957912,0.117002061,0.000570092,0.882997939,0.001139449
0.6,post-CM,0.001,0.914245634,0.595334791,0.828816974,0.000580445,0.00203625,0.424440894,0.99796375,0.595578238
0.6,post-CM,0.01,0.983081741,0.931557417,0.954974518,1.21E-05,0.103397203,0.969409124,0.896602797,0.931585616
0.6,post-CM,0.1,0.949109103,0.539750408,0.840155774,1.10E-08,0.630261713,0.999930612,0.369738287,0.539856942
0.6,post-CM,0.5,0.84436244,0.041819287,0.119674364,0,0.978550096,1,0.021449904,0.041998934
