,net_name,step,r,clus_count,clus_count_10,node_cov,node_cov_10,mean_size,min_size,med_size,max_size
24,cit_hepph,Leiden,0.5,7569,346,0.849852371,0.162594801,16.23410405,11,14,55
25,cit_hepph,Filter,0.5,346,346,0.162594801,0.162594801,16.23410405,11,14,55
26,cit_hepph,post-CM,0.5,346,346,0.162594801,0.162594801,16.23410405,11,14,55
27,cit_hepph_lfr,Leiden,0.5,16524,0,0.982573959,0,0,0,0,0
28,cit_hepph_lfr,Filter,0.5,0,0,0,0,0,0,0,0
29,cit_hepph_lfr,post-CM,0.5,0,0,0,0,0,0,0,0
30,cit_hepph,Leiden,modularity,82,18,1,0.994905344,1909.444444,14,1738.5,4031
31,cit_hepph,Filter,modularity,18,18,0.994905344,0.994905344,1909.444444,14,1738.5,4031
32,cit_hepph,post-CM,modularity,26,26,0.835581543,0.835581543,1110.230769,24,408.5,3500
33,cit_hepph_lfr,Leiden,modularity,66,66,1,1,523.4242424,15,160.5,3353
34,cit_hepph_lfr,Filter,modularity,66,66,1,1,523.4242424,15,160.5,3353
35,cit_hepph_lfr,post-CM,modularity,104,104,0.991547502,0.991547502,329.3653846,11,26,3353
36,orkut,Leiden,0.0001,11348,691,0.949891308,0.940956718,4183.84081,11,271,190195
37,orkut,Filter,0.0001,677,677,0.940881534,0.940881534,4270.019202,11,288,190195
38,orkut,post-CM,0.0001,733,733,0.849399875,0.849399875,3560.342428,11,78,190195
39,orkut,Leiden,0.001,11269,6279,0.965293394,0.961202835,470.3358815,11,122,46062
40,orkut,Filter,0.001,6199,6199,0.960118681,0.960118681,475.8683659,11,126,46062
41,orkut,post-CM,0.001,5009,5009,0.833247245,0.833247245,511.1006189,11,105,46062
42,orkut,Leiden,0.01,47094,41535,0.962286338,0.955397353,70.6729746,11,25,12016
43,orkut,Filter,0.01,37470,37470,0.935212751,0.935212751,76.68497465,11,28,12016
44,orkut,post-CM,0.01,25552,25552,0.819057551,0.819057551,98.48567627,11,37,12016
45,orkut,Leiden,0.1,232145,59555,0.951875398,0.647613738,33.41037696,11,20,1444
46,orkut,Filter,0.1,59372,59372,0.646958558,0.646958558,33.47945159,11,20,1444
47,orkut,post-CM,0.1,56120,56120,0.634872403,0.634872403,34.7578047,11,21,1444
48,orkut,Leiden,0.5,617430,45170,0.886818657,0.302193923,20.55508081,11,16,217
49,orkut,Filter,0.5,45170,45170,0.302193923,0.302193923,20.55508081,11,16,217
50,orkut,post-CM,0.5,45170,45170,0.302193923,0.302193923,20.55508081,11,16,217
51,orkut,Leiden,modularity,36,34,1,0.99999642,90365.58824,16,24939.5,800146
52,orkut,Filter,modularity,34,34,0.99999642,0.99999642,90365.58824,16,24939.5,800146
