,net_name,step,r,clus_count,clus_count_10,node_cov,node_cov_10,mean_size,min_size,med_size,max_size
0,cit_hepph_lfr,LFR,0.0001,1068,1068,1.0,1.0,32.346441947565545,18,25.0,1322
1,cit_hepph_lfr,LFR,0.001,172,172,1.0,1.0,200.84883720930233,13,30.0,2772
2,cit_hepph_lfr,LFR,0.01,1155,1155,1.0,1.0,29.90995670995671,11,16.0,712
3,cit_hepph_lfr,LFR,0.1,152,152,1.0,1.0,227.27631578947367,159,224.0,318
4,cit_hepph_lfr,LFR,0.5,287,287,1.0,1.0,120.36933797909407,80,125.0,159
5,cit_hepph_lfr,LFR,modularity,94,94,1.0,1.0,367.51063829787233,15,59.5,3353
6,oc_lfr,LFR,0.0001,139017,139017,1.0,1.0,21.580094520814,15,18.0,820
7,oc_lfr,LFR,0.001,120632,120632,1.0,1.0,24.869023144770875,18,22.0,738
8,oc_lfr,LFR,0.01,83095,83095,1.0,1.0,36.10325531018714,28,32.0,599
9,oc_lfr,LFR,0.1,66350,66350,1.0,1.0,45.214770158251696,37,42.0,451
10,oc_lfr,LFR,0.5,70023,70023,1.0,1.0,42.84306584979221,35,39.0,435
11,oc_lfr,LFR,modularity,74716,74716,1.0,1.0,40.15204240055677,18,26.0,999
12,cen_lfr,LFR,0.0001,130765,71625,1.0,0.838955,35.13947643979058,11,18.0,1000
13,cen_lfr,LFR,0.001,207281,65399,1.0,0.689274,31.618556858667564,11,17.0,998
14,cen_lfr,LFR,0.01,98691,98691,1.0,1.0,30.397908623886675,24,28.0,450
15,cen_lfr,LFR,0.1,178956,178956,1.0,1.0,16.763897270837525,14,15.0,168
16,cen_lfr,LFR,0.5,29999,29999,1.0,1.0,100.00333344444815,58,78.0,986
17,cen_lfr,LFR,modularity,24839,19733,1.0,0.9868733333333334,150.03395327623778,11,55.0,1000
18,cit_patents_lfr,LFR,0.0001,338907,94852,1.0,0.5303729924594042,21.10693501454898,11,15.0,3388
19,cit_patents_lfr,LFR,0.001,222907,222907,1.0,1.0,16.93427303763453,13,15.0,407
20,cit_patents_lfr,LFR,0.01,319369,85263,1.0,0.5970011931859124,26.43046808111373,11,16.0,802
21,cit_patents_lfr,LFR,0.1,363150,107576,1.0,0.41321824281651215,14.499544508068714,11,13.0,256
22,cit_patents_lfr,LFR,0.5,994005,11586,1.0,0.04718303217575226,15.372432245813913,11,13.0,112
23,cit_patents_lfr,LFR,modularity,171438,89407,1.0,0.8229144148726492,34.743487646381155,11,17.0,4950
24,wiki_topcats_lfr,LFR,0.0001,15541,11367,1.0,0.9807886065725215,154.57658133192575,11,30.0,4890
25,wiki_topcats_lfr,LFR,0.001,38757,21345,1.0,0.926864747704284,77.79189505739049,11,22.0,4742
26,wiki_topcats_lfr,LFR,0.01,128166,38272,1.0,0.6721308364159646,31.462034908026755,11,17.0,2490
27,wiki_topcats_lfr,LFR,0.1,222617,32360,1.0,0.33537297745060113,18.56665636588381,11,14.0,502
28,wiki_topcats_lfr,LFR,modularity,32593,32593,1.0,1.0,54.96545270456846,37,46.0,820
29,wiki_talk_lfr,LFR,0.0001,144470,78254,1.0,0.7571870243650469,23.153295678176196,11,15.0,3766
30,wiki_talk_lfr,LFR,0.001,47699,39409,1.0,0.9673146300452644,58.77116902230455,11,22.0,1202
31,wiki_talk_lfr,LFR,0.01,45729,45729,1.0,1.0,52.3603183975158,20,37.0,200
32,wiki_talk_lfr,LFR,0.1,16320,16320,1.0,1.0,146.71476715686273,53,91.0,1140
33,wiki_talk_lfr,LFR,modularity,64269,38574,1.0,0.9125517077668012,56.6062632861513,11,20.0,4836
